Job Type,salary_minimum,salary_maximum,salary_band,salary_range,qualification_level,sector,role_category
Government,,,,,undergraduate,Government General,Other
Government,,,,,postgraduate,Banking,Other
Government,,,,,undergraduate,Banking,Officer
Government,56100.0,177500.0,Medium,121400.0,undergraduate,Government General,Other
Government,,,,,postgraduate,Education,Officer
Government,,,,,postgraduate,Government Admin,Medical
Government,20475.0,20475.0,Low,0.0,undergraduate,Government Admin,Academic
Government,29000.0,31000.0,Low,2000.0,undergraduate,Banking,Managerial
Government,40000.0,140000.0,Medium,100000.0,undergraduate,Government General,Entry Level
Government,78800.0,209200.0,High,130400.0,undergraduate,Government General,Other
Government,40000.0,140000.0,Medium,100000.0,undergraduate,Government General,Entry Level
Government,102300.0,120940.0,High,18640.0,undergraduate,Banking,Officer
Government,159100.0,159100.0,Very High,0.0,doctorate,Education,Academic
Government,161000.0,194000.0,Very High,33000.0,postgraduate,Government General,Managerial
Government,,,,,undergraduate,Energy,Engineer
Government,40000.0,140000.0,Medium,100000.0,postgraduate,Government General,Officer
Government,50000.0,220000.0,Medium,170000.0,postgraduate,Government General,Engineer
Government,61960.0,140000.0,Medium,78040.0,postgraduate,Healthcare,Other
Government,60000.0,60000.0,Medium,0.0,undergraduate,Government General,Other
Government,,,,,undergraduate,Education,Engineer
Government,,,,,undergraduate,Education,Other
Government,30000.0,40000.0,Medium,10000.0,undergraduate,Government General,Engineer
Government,44900.0,142400.0,Medium,97500.0,postgraduate,Healthcare,Officer
Government,,,,,undergraduate,Banking,Managerial
Government,10000.0,15000.0,Low,5000.0,undergraduate,Banking,Entry Level
Government,,,,,undergraduate,Banking,Officer
Government,,,,,undergraduate,Government General,Entry Level
Government,31000.0,31000.0,Medium,0.0,postgraduate,Government Admin,Associate
Government,15990.0,36101.0,Low,20111.0,undergraduate,Government General,Managerial
Government,200000.0,200000.0,Very High,0.0,postgraduate,Education,Other
Government,40000.0,140000.0,Medium,100000.0,undergraduate,Government General,Engineer
Government,45000.0,45000.0,Medium,0.0,undergraduate,Banking,Officer
Government,,,,,undergraduate,Education,Other
Government,53880.0,53880.0,Medium,0.0,undergraduate,Education,Officer
Government,45000.0,50000.0,Medium,5000.0,postgraduate,Government General,Associate
Government,137500.0,183333.3333333333,High,45833.33333333334,postgraduate,PSU,Officer
Government,,,,,undergraduate,Education,Assistant
Government,20000.0,20000.0,Low,0.0,undergraduate,Government General,Assistant
Government,45400.0,101200.0,Medium,55800.0,undergraduate,Government General,Managerial
Government,,,,,undergraduate,Government Admin,Assistant
Government,35400.0,218200.0,Medium,182800.0,postgraduate,Government General,Other
Government,10000.0,15000.0,Low,5000.0,undergraduate,Banking,Entry Level
Government,142400.0,142400.0,High,0.0,undergraduate,Government Admin,Officer
Government,56100.0,56100.0,Medium,0.0,undergraduate,Government Admin,Officer
Government,,,,,postgraduate,Government Admin,Medical
Government,9300.0,34800.0,Low,25500.0,undergraduate,Government Admin,Academic
Government,85920.0,105280.0,High,19360.0,other,Banking,Other
Government,64820.0,93960.0,Medium,29140.0,postgraduate,Banking,Managerial
Government,60000.0,70000.0,Medium,10000.0,undergraduate,Government General,Engineer
Government,27000.0,27000.0,Low,0.0,undergraduate,Government General,Entry Level
Government,42700.0,135100.0,Medium,92400.0,undergraduate,PSU,Managerial
Government,14800.0,113200.0,Low,98400.0,undergraduate,Government Admin,Other
Government,64820.0,93960.0,Medium,29140.0,postgraduate,Banking,Managerial
Government,30000.0,80000.0,Medium,50000.0,undergraduate,Banking,Managerial
Government,40000.0,60000.0,Medium,20000.0,undergraduate,Government General,Managerial
Government,,,,,undergraduate,Banking,Associate
Government,,,,,undergraduate,Government General,Entry Level
Government,,,,,undergraduate,Banking,Other
Government,48480.0,85920.0,Medium,37440.0,undergraduate,Banking,Managerial
Government,30000.0,30000.0,Medium,0.0,undergraduate,Government General,Other
Government,56100.0,177500.0,Medium,121400.0,undergraduate,Government Admin,Assistant
Government,,,,,undergraduate,Banking,Assistant
Government,,,,,undergraduate,Government Admin,Other
Government,,,,,undergraduate,Government General,Other
Government,,,,,postgraduate,Government General,Other
Government,,,,,undergraduate,Government General,Other
Government,,,,,undergraduate,Government General,Other
Government,,,,,undergraduate,Banking,Officer
Government,50000.0,50000.0,Medium,0.0,undergraduate,Government General,Engineer
Government,,,,,undergraduate,Government General,Other
Government,25000.0,25000.0,Low,0.0,postgraduate,Technical/Research,Other
Government,35400.0,218200.0,Medium,182800.0,postgraduate,Education,Other
Government,17187.5,17557.75,Low,370.25,undergraduate,PSU,Engineer
Government,30000.0,40000.0,Medium,10000.0,undergraduate,Government General,Managerial
Government,,,,,undergraduate,Government Admin,Officer
Government,,,,,undergraduate,Government Admin,Academic
Government,,,,,undergraduate,Education,Other
Government,8000.0,9000.0,Low,1000.0,undergraduate,Government General,Engineer
Government,,,,,undergraduate,Energy,Managerial
Government,50000.0,160000.0,Medium,110000.0,other,Government General,Officer
Government,,,,,undergraduate,Government Admin,Academic
Government,37000.0,130000.0,Medium,93000.0,undergraduate,PSU,Managerial
Government,90000.0,90000.0,High,0.0,postgraduate,Government General,Managerial
Government,44900.0,208700.0,Medium,163800.0,undergraduate,Government Admin,Assistant
Government,57700.0,182400.0,Medium,124700.0,postgraduate,Education,Academic
Government,20000.0,27500.0,Low,7500.0,undergraduate,Banking,Assistant
Government,12000.0,12000.0,Low,0.0,undergraduate,Government General,Entry Level
Government,40000.0,50000.0,Medium,10000.0,postgraduate,Government General,Managerial
Government,97220.0,209445.0,High,112225.0,undergraduate,Government General,Managerial
Government,250000.0,250000.0,Very High,0.0,undergraduate,PSU,Managerial
